id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7GvSjMkm9wZsFmmeO32EBC,afrobeat,0.0988,0.656,276067,0.714,0.668,9,0.137,-10.391,1,0.036,96.68,4,0.963
1jWnAtf4RQm9vrch9pPQEs,afrobeat,0.356,0.705,249307,0.612,0.906,10,0.112,-6.533,0,0.0352,130.335,4,0.551
1swibycVfat8dff4rDLmIh,afrobeat,0.0992,0.624,395773,0.855,0.49,5,0.0975,-7.584,0,0.0579,97.318,4,0.938
48bvzSemqqsT1UBMqVOf4m,afrobeat,0.0989,0.677,166760,0.902,0.596,4,0.122,-7.369,0,0.0443,145.925,4,0.786
2QZqxcu7gXkZbU6qKcWMhp,afrobeat,0.164,0.668,279067,0.859,0.854,2,0.124,-4.399,1,0.0986,93.438,4,0.679
0ZN78kk6WS7xdjXraT6Hbr,afrobeat,0.268,0.638,228880,0.923,0.889,7,0.267,-7.452,1,0.037,101.957,4,0.758
2ZaQdIn0bSh0nSEn7Mq4aj,afrobeat,0.0508,0.679,235787,0.655,0.129,2,0.0846,-8.035,0,0.0343,82.763,4,0.875
0XJhgStzVp5FH1Wy31ZTFL,afrobeat,0.256,0.753,326773,0.622,0.0127,0,0.36,-12.29,1,0.146,121.575,4,0.842
3cQK017UwbIcVvUXf6PQFZ,afrobeat,0.0777,0.582,249120,0.803,0.718,1,0.713,-7.089,1,0.0602,127.804,4,0.753
3ZLzPbSOw4OfVqa5zyEWCu,ambient,0.99,0.389,129773,0.0894,0.937,4,0.164,-24.719,0,0.0266,72.983,4,0.148
54QFGiOthVqXeJtiXdlLYa,ambient,0.805,0.559,289280,0.23,0.876,7,0.0776,-20.178,0,0.0309,151.987,4,0.456
0Z5oEza6OKWhXJBVnlCWzl,ambient,0.99,0.223,293480,0.0828,0.828,2,0.0828,-24.326,1,0.0563,129.825,4,0.0356
4VH3rKj1tmhUZtX3U43jBq,ambient,0.995,0.228,163000,0.00385,0.917,9,0.0858,-35.213,0,0.0449,141.201,3,0.127
4TrCvd1PrqI14lZb7tEtYo,ambient,0.955,0.0629,272787,0.0718,0.907,8,0.0906,-24.789,0,0.0432,67.25,5,0.032
5aEW7hL4yJ3StRw4x9ZLLn,ambient,0.814,0.174,546373,0.0715,0.951,2,0.12,-14.55,1,0.041,92.217,3,0.0448
4oI8NKmZTY3McqpQEY4n1H,ambient,0.795,0.628,196973,0.506,0.901,9,0.111,-12.101,0,0.0427,99.945,4,0.47
72c1iKsEgEcfJvsNkv02xF,ambient,0.0101,0.507,511011,0.37,0.847,8,0.0743,-15.211,1,0.03,144.958,4,0.0374
